image_url,id,w_cm,idx,color,proportion,color_name
"14427433.jpg",14427433,"3.2",1,"#163476",0.06666666667,"purple","LoPresti Congress"
"14427433.jpg",14427433,"3.2",1,"#163476",0.06666666667,"purple","LoPresti Congress"
"14427433.jpg",14427433,"3.2",1,"#163476",0.06666666667,"purple","LoPresti Congress"
"14427433.jpg",14427433,"3.2",1,"#163476",0.06666666667,"purple","LoPresti Congress"
"14427435.jpg",14427435,"4",1,"#142272",0.3257666667,"purple","Lowenstein"
"14427435.jpg",14427435,"4",1,"#142272",0.3257666667,"purple","Lowenstein"
"14427435.jpg",14427435,"4",1,"#142272",0.3257666667,"purple","Lowenstein"
"14427435.jpg",14427435,"4",1,"#142272",0.3257666667,"purple","Lowenstein"
"14427435.jpg",14427435,"4",1,"#142272",0.3257666667,"purple","Lowenstein"
"14427431.jpg",14427431,"4",1,"#2d2e2a",0.4029333333,"black","Ed Logue Mayor"
"14427431.jpg",14427431,"4",1,"#2d2e2a",0.4029333333,"black","Ed Logue Mayor"
"14427431.jpg",14427431,"4",1,"#2d2e2a",0.4029333333,"black","Ed Logue Mayor"
